Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Coahuila de Zaragoza,Índice,51 Información en medios masivos,67.8,74.6,72.0,77.1
Coahuila de Zaragoza,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Coahuila de Zaragoza,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Coahuila de Zaragoza,Índice,61 Servicios educativos,ND,ND,ND,ND
Coahuila de Zaragoza,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Coahuila de Zaragoza,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Coahuila de Zaragoza,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,95.6,95.9,121.9,121.6
Coahuila de Zaragoza,Variación anual del índice,51 Información en medios masivos,24.1,40.0,6.2,3.3
Coahuila de Zaragoza,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Coahuila de Zaragoza,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Coahuila de Zaragoza,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Coahuila de Zaragoza,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Coahuila de Zaragoza,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Coahuila de Zaragoza,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,17.5,-3.8,27.5,26.8
Colima,Índice,51 Información en medios masivos,47.4,58.4,60.9,55.2
Colima,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Colima,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Colima,Índice,61 Servicios educativos,ND,ND,ND,ND
Colima,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Colima,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Colima,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,107.7,110.4,88.5,92.7
Colima,Variación anual del índice,51 Información en medios masivos,-6.1,47.6,28.3,-5.4
